indicator_code,country_iso3,who_region,year,dim1_type,dim1,value_numeric,value_low,value_high,value_display,last_updated
cpmt,SEN,AFR,2017,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,38.52594,34.39308,42.8312,38.5 [34.4-42.8],2022-05-26T13:03:23+02:00
cpmt,CIV,AFR,2011,DHSMICSGEOREGION,DHSMICSGEOREGION_CIVDHS201104,19.26007,13.96401,25.95871,19.3 [14.0-26.0],2022-05-26T14:19:10+02:00
cpmt,NER,AFR,1998,AGEGROUP,AGEGROUP_YEARS15-19,6.08479,4.69238,7.85633,6.1 [4.7-7.9],2022-05-26T11:04:45+02:00
cpmt,COD,AFR,2007,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,15.29847,11.19054,20.56519,15.3 [11.2-20.6],2022-05-26T12:05:26+02:00
cpmt,ZMB,AFR,2001,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,22.99234,20.12476,26.13484,23.0 [20.1-26.1],2022-05-26T13:07:33+02:00
cpmt,KEN,AFR,1998,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,46.61844,42.67886,50.60067,46.6 [42.7-50.6],2022-05-26T12:55:29+02:00
cpmt,MLI,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_MLIDHS200608,9.3037,4.12923,19.63447,9.3 [4.1-19.6],2022-05-26T14:33:29+02:00
cpmt,TZA,AFR,2010,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,37.6685,32.67353,42.94006,37.7 [32.7-42.9],2022-05-26T12:36:53+02:00
cpmt,UGA,AFR,2011,DHSMICSGEOREGION,DHSMICSGEOREGION_UGADHS201110,29.55131,24.55135,35.09588,29.6 [24.6-35.1],2022-05-26T14:50:11+02:00
cpmt,NGA,AFR,2007,DHSMICSGEOREGION,DHSMICSGEOREGION_NGAMICS200711,6.52174,4.21786,9.95328,6.5 [4.2-10.0],2022-05-26T14:37:13+02:00
cpmt,GMB,AFR,2013,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,10.6968,6.92168,16.17312,10.7 [6.9-16.2],2022-05-26T12:09:01+02:00
cpmt,SEN,AFR,2014,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,31.11139,27.3927,35.09093,31.1 [27.4-35.1],2022-05-26T11:39:15+02:00
cpmt,TCD,AFR,2014,DHSMICSGEOREGION,DHSMICSGEOREGION_TCDDHS201401,1.03164,0.51513,2.05536,1.0 [0.5-2.1],2022-05-26T14:17:31+02:00
cpmt,ZMB,AFR,2007,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,50.57997,47.32347,53.83155,50.6 [47.3-53.8],2022-05-26T11:26:15+02:00
cpmt,NGA,AFR,2007,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,20.42759,18.33502,22.69261,20.4 [18.3-22.7],2022-05-26T11:22:06+02:00
cpmt,UGA,AFR,2006,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,19.38141,16.58377,22.52356,19.4 [16.6-22.5],2022-05-26T13:06:16+02:00
cpmt,ZWE,AFR,2015,DHSMICSGEOREGION,DHSMICSGEOREGION_ZWEDHS201502,66.42481,62.11628,70.47623,66.4 [62.1-70.5],2022-05-26T14:54:10+02:00
cpmt,ZWE,AFR,2010,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,60.25124,54.8348,65.42766,60.3 [54.8-65.4],2022-05-26T12:39:10+02:00
cpmt,BFA,AFR,2003,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,11.38278,9.57153,13.48565,11.4 [9.6-13.5],2022-05-26T12:47:29+02:00
cpmt,TZA,AFR,1999,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE08,36.37351,24.90111,49.63789,36.4 [24.9-49.6],2022-05-26T12:36:40+02:00
cpmt,UGA,AFR,2006,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,47.51185,44.03087,51.01718,47.5 [44.0-51.0],2022-05-26T13:06:16+02:00
cpmt,CAF,AFR,2010,DHSMICSGEOREGION,DHSMICSGEOREGION_CAFMICS201010,6.98327,4.49608,10.69233,7.0 [4.5-10.7],2022-05-26T14:16:50+02:00
cpmt,ZAF,AFR,2016,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,48.6737,41.50935,55.89297,48.7 [41.5-55.9],2022-05-26T12:32:07+02:00
cpmt,SEN,AFR,2017,DHSMICSGEOREGION,DHSMICSGEOREGION_SENDHS201703,16.78804,14.31914,19.58531,16.8 [14.3-19.6],2022-05-26T14:46:25+02:00
cpmt,NER,AFR,2012,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,9.02661,6.96051,11.62934,9.0 [7.0-11.6],2022-05-26T12:22:39+02:00
cpmt,BEN,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_BENDHS200610,24.31201,21.76039,27.05935,24.3 [21.8-27.1],2022-05-26T14:13:07+02:00
cpmt,ETH,AFR,2000,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,2.89875,1.75442,4.75338,2.9 [1.8-4.8],2022-05-26T12:08:07+02:00
cpmt,NER,AFR,2012,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,32.28533,28.61249,36.19061,32.3 [28.6-36.2],2022-05-26T11:22:01+02:00
cpmt,MLI,AFR,2006,DHSMICSGEOREGION,DHSMICSGEOREGION_MLIDHS200603,6.54856,5.16849,8.26503,6.5 [5.2-8.3],2022-05-26T14:33:29+02:00
cpmt,TCD,AFR,1996,AGEGROUP,AGEGROUP_YEARS15-19,3.09987,2.15947,4.43124,3.1 [2.2-4.4],2022-05-26T11:00:30+02:00
cpmt,SEN,AFR,2005,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,22.34324,18.6163,26.57268,22.3 [18.6-26.6],2022-05-26T12:29:50+02:00
cpmt,GIN,AFR,2012,DHSMICSGEOREGION,DHSMICSGEOREGION_GINDHS201204,1.6895,1.02028,2.78533,1.7 [1.0-2.8],2022-05-26T14:24:41+02:00
cpmt,TZA,AFR,2015,DHSMICSGEOREGION,DHSMICSGEOREGION_TZADHS201522,53.98099,46.88388,60.92026,54.0 [46.9-60.9],2022-05-26T14:51:51+02:00
cpmt,MOZ,AFR,1997,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,17.71103,14.22915,21.8281,17.7 [14.2-21.8],2022-05-26T11:37:25+02:00
cpmt,MRT,AFR,2007,DHSMICSGEOREGION,DHSMICSGEOREGION_MRTMICS200709,5.12277,2.39273,10.62851,5.1 [2.4-10.6],2022-05-26T14:33:55+02:00
cpmt,COM,AFR,1996,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,34.86842,27.74202,42.74259,34.9 [27.7-42.7],2022-05-26T12:03:44+02:00
cpmt,GHA,AFR,2006,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,16.76864,13.70437,20.35646,16.8 [13.7-20.4],2022-05-26T11:18:04+02:00
cpmt,NAM,AFR,2013,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,36.921,31.17497,43.06344,36.9 [31.2-43.1],2022-05-26T12:21:08+02:00
cpmt,NER,AFR,2006,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,10.2542,8.29173,12.61722,10.3 [8.3-12.6],2022-05-26T12:22:32+02:00
cpmt,MOZ,AFR,1997,DHSMICSGEOREGION,DHSMICSGEOREGION_MOZDHS199705,9.2504,5.51931,15.10059,9.3 [5.5-15.1],2022-05-26T14:34:47+02:00
cpmt,GIN,AFR,1999,AGEGROUP,AGEGROUP_YEARS15-19,3.42659,2.23776,5.21331,3.4 [2.2-5.2],2022-05-26T11:02:12+02:00
cpmt,NGA,AFR,2018,DHSMICSGEOREGION,DHSMICSGEOREGION_NGADHS201803,6.75886,5.62176,8.10619,6.8 [5.6-8.1],2022-05-26T14:38:18+02:00
